18-jit-on 1 0 54 57 5
18-jit-on 1 4 45 35 5
18-no-jit 1 0 53 57 5
18-no-jit 1 4 44 35 5
18-jit-off 1 0 54 57 5
18-jit-off 1 4 45 35 4
18-jit-on 10 0 594 611 29
18-jit-on 10 4 485 391 31
18-no-jit 10 0 595 615 30
18-no-jit 10 4 490 391 30
18-jit-off 10 0 592 617 30
18-jit-off 10 4 483 393 30
