 scale | workers | caching  | query | cnt_no_jit | cnt_jit_off | cnt_jit_on | plan_no_jit | plan_jit_off | plan_jit_on | timing_no_jit | timing_jit_off | timing_jit_on | pct_of | pct_on 
-------+---------+----------+-------+------------+-------------+------------+-------------+--------------+-------------+---------------+----------------+---------------+--------+--------
     1 |       0 | cached   |     1 |          5 |           5 |          5 | 9f29bca7    | 9f29bca7     | 9f29bca7    |          5821 |           5781 |          5731 |     99 |     98
     1 |       0 | cached   |     2 |          5 |           5 |          5 | 2f136e41    | 2f136e41     | 2f136e41    |            38 |             38 |            38 |    100 |    100
     1 |       0 | cached   |     3 |          5 |           5 |          5 | d058a22c    | d058a22c     | d058a22c    |          1207 |           1209 |          1233 |    100 |    102
     1 |       0 | cached   |     4 |          5 |           5 |          5 | 97342919    | 97342919     | 97342919    |           343 |            344 |           342 |    100 |    100
     1 |       0 | cached   |     5 |          5 |           5 |          5 | b8c9ebdd    | b8c9ebdd     | b8c9ebdd    |           283 |            281 |           324 |     99 |    114
     1 |       0 | cached   |     6 |          5 |           5 |          5 | 614518f2    | 614518f2     | 614518f2    |           209 |            209 |           229 |    100 |    110
     1 |       0 | cached   |     7 |          5 |           5 |          5 | 798fd228    | 798fd228     | 798fd228    |           793 |            790 |           834 |    100 |    105
     1 |       0 | cached   |     8 |          5 |           5 |          5 | 0a630745    | 0a630745     | 0a630745    |           211 |            210 |           209 |     99 |     99
     1 |       0 | cached   |     9 |          5 |           5 |          5 | 0805dc5a    | 0805dc5a     | 0805dc5a    |          1319 |           1317 |          1329 |    100 |    101
     1 |       0 | cached   |    10 |          5 |           5 |          5 | 726d7e61    | 726d7e61     | 726d7e61    |           783 |            783 |           825 |    100 |    105
     1 |       0 | cached   |    11 |          5 |           5 |          5 | 06bcdf4f    | 06bcdf4f     | 06bcdf4f    |            88 |             89 |            88 |    101 |    100
     1 |       0 | cached   |    12 |          5 |           5 |          5 | e856499b    | e856499b     | e856499b    |           328 |            330 |           329 |    101 |    100
     1 |       0 | cached   |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |          1099 |           1095 |          1095 |    100 |    100
     1 |       0 | cached   |    14 |          5 |           5 |          5 | 0ecc6eda    | 0ecc6eda     | 0ecc6eda    |           174 |            174 |           174 |    100 |    100
     1 |       0 | cached   |    15 |          5 |           5 |          5 | b277d202    | b277d202     | b277d202    |           450 |            444 |           485 |     99 |    108
     1 |       0 | cached   |    16 |          5 |           5 |          5 | e78d6b74    | e78d6b74     | e78d6b74    |           577 |            577 |           579 |    100 |    100
     1 |       0 | cached   |    17 |          5 |           5 |          5 | eed1fe5c    | eed1fe5c     | eed1fe5c    |          1727 |           1711 |          1703 |     99 |     99
     1 |       0 | cached   |    18 |          5 |           5 |          5 | 29e477e3    | 29e477e3     | 29e477e3    |          2043 |           2021 |          2252 |     99 |    110
     1 |       0 | cached   |    19 |          5 |           5 |          5 | 6b8effe6    | 6b8effe6     | 6b8effe6    |            62 |             61 |            62 |     99 |    100
     1 |       0 | cached   |    20 |          5 |           5 |          5 | 596c81ea    | 596c81ea     | 596c81ea    |          1262 |           1258 |          1281 |    100 |    102
     1 |       0 | cached   |    21 |          5 |           5 |          5 | e2ed2b7a    | e2ed2b7a     | e2ed2b7a    |          1033 |           1029 |          1025 |    100 |     99
     1 |       0 | cached   |    22 |          5 |           5 |          5 | 521c03d4    | 521c03d4     | 521c03d4    |           153 |            153 |           152 |    100 |    100
     1 |       0 | uncached |     1 |          5 |           5 |          5 | 9f29bca7    | 9f29bca7     | 9f29bca7    |          6032 |           5996 |          5984 |     99 |     99
     1 |       0 | uncached |     2 |          5 |           5 |          5 | 2f136e41    | 2f136e41     | 2f136e41    |           186 |            190 |           186 |    102 |    100
     1 |       0 | uncached |     3 |          5 |           5 |          5 | d058a22c    | d058a22c     | d058a22c    |          1902 |           1894 |          1920 |    100 |    101
     1 |       0 | uncached |     4 |          5 |           5 |          5 | 97342919    | 97342919     | 97342919    |           842 |            845 |           833 |    100 |     99
     1 |       0 | uncached |     5 |          5 |           5 |          5 | b8c9ebdd    | b8c9ebdd     | b8c9ebdd    |          1079 |           1077 |          1163 |    100 |    108
     1 |       0 | uncached |     6 |          5 |           5 |          5 | 614518f2    | 614518f2     | 614518f2    |          1314 |           1339 |          1339 |    102 |    102
