 scale | workers | caching  | query | cnt_no_jit | cnt_jit_off | cnt_jit_on | plan_no_jit | plan_jit_off | plan_jit_on | timing_no_jit | timing_jit_off | timing_jit_on | pct_of | pct_on 
     1 |       4 | cached   |     7 |          5 |           5 |          5 | 0d9c31fa    | 0d9c31fa     | 0d9c31fa    |           472 |            472 |           551 |    100 |    117
     1 |       4 | cached   |     8 |          5 |           5 |          5 | 83e64deb    | 83e64deb     | 83e64deb    |           119 |            118 |           118 |     99 |    100
     1 |       4 | cached   |     9 |          5 |           5 |          5 | 28f9c4f3    | f1118665     | 28f9c4f3    |           366 |            147 |           365 |     40 |    100
     1 |       4 | cached   |    10 |          5 |           5 |          5 | 0da9a7ea    | 0f40de5c     | 0da9a7ea    |           198 |            197 |           200 |     99 |    101
     1 |       4 | cached   |    11 |          5 |           5 |          5 | b4c309ff    | b4c309ff     | b4c309ff    |            83 |             84 |            84 |    102 |    101
     1 |       4 | cached   |    12 |          5 |           5 |          5 | 48cdb31d    | 48cdb31d     | 48cdb31d    |            96 |             97 |            98 |    101 |    101
     1 |       4 | cached   |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |          1102 |           1098 |          1103 |    100 |    100
     1 |       4 | cached   |    14 |          5 |           5 |          5 | 5097e708    | 5097e708     | 5097e708    |           121 |            121 |           122 |    100 |    100
     1 |       4 | cached   |    15 |          5 |           5 |          5 | ff83e7ae    | ff83e7ae     | ff83e7ae    |           419 |            412 |           487 |     98 |    116
     1 |       4 | cached   |    16 |          5 |           5 |          5 | 3a49c8c9    | 3a49c8c9     | 3a49c8c9    |           239 |            238 |           241 |    100 |    101
     1 |       4 | cached   |    17 |          5 |           5 |          5 | b7ff1a0a    | b7ff1a0a     | b7ff1a0a    |          2018 |           2028 |          1736 |    101 |     86
     1 |       4 | cached   |    18 |          5 |           5 |          5 | 29e477e3    | 29e477e3     | 29e477e3    |          2023 |           2022 |          2263 |    100 |    112
     1 |       4 | cached   |    19 |          5 |           5 |          5 | 91220a85    | 91220a85     | 91220a85    |            35 |             35 |            35 |    100 |    100
     1 |       4 | cached   |    20 |          5 |           5 |          5 | acf67bed    | acf67bed     | acf67bed    |          1245 |           1252 |          1300 |    101 |    104
     1 |       4 | cached   |    21 |          5 |           5 |          5 | c4357ffb    | c4357ffb     | c4357ffb    |           372 |            367 |           370 |     99 |     99
     1 |       4 | cached   |    22 |          5 |           5 |          5 | a439a41a    | a439a41a     | a439a41a    |            68 |             68 |            68 |    100 |    100
     1 |       4 | uncached |     1 |          5 |           5 |          5 | 14d8864b    | 14d8864b     | 14d8864b    |          1791 |           1796 |          1867 |    100 |    104
     1 |       4 | uncached |     2 |          5 |           5 |          5 | 2f136e41    | 2f136e41     | 2f136e41    |           184 |            190 |           187 |    103 |    102
     1 |       4 | uncached |     3 |          5 |           5 |          5 | 25b6fe4c    | 25b6fe4c     | 25b6fe4c    |          1144 |           1167 |          1264 |    102 |    110
     1 |       4 | uncached |     4 |          5 |           5 |          5 | 2aec4865    | 2aec4865     | 2aec4865    |           973 |            965 |           927 |     99 |     95
     1 |       4 | uncached |     5 |          5 |           5 |          5 | 57c568be    | 57c568be     | 57c568be    |           793 |            768 |           791 |     97 |    100
     1 |       4 | uncached |     6 |          5 |           5 |          5 | 8e356075    | 8e356075     | 8e356075    |          1102 |           1111 |          1174 |    101 |    107
     1 |       4 | uncached |     7 |          5 |           5 |          5 | 0d9c31fa    | 0d9c31fa     | 0d9c31fa    |          3201 |           3249 |          3380 |    102 |    106
     1 |       4 | uncached |     8 |          5 |           5 |          5 | 83e64deb    | 83e64deb     | 83e64deb    |           722 |            778 |           729 |    108 |    101
     1 |       4 | uncached |     9 |          5 |           5 |          5 | 28f9c4f3    | f1118665     | 28f9c4f3    |          1067 |           2962 |          1068 |    278 |    100
     1 |       4 | uncached |    10 |          5 |           5 |          5 | 0da9a7ea    | 0f40de5c     | 0da9a7ea    |           717 |            728 |           722 |    101 |    101
     1 |       4 | uncached |    11 |          5 |           5 |          5 | b4c309ff    | b4c309ff     | b4c309ff    |           728 |            745 |           734 |    102 |    101
     1 |       4 | uncached |    12 |          5 |           5 |          5 | 48cdb31d    | 48cdb31d     | 48cdb31d    |          1111 |           1141 |          1116 |    103 |    100
     1 |       4 | uncached |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |          1236 |           1238 |          1240 |    100 |    100
     1 |       4 | uncached |    14 |          5 |           5 |          5 | 5097e708    | 5097e708     | 5097e708    |           567 |            558 |           559 |     98 |     99
     1 |       4 | uncached |    15 |          5 |           5 |          5 | ff83e7ae    | ff83e7ae     | ff83e7ae    |          1304 |           1290 |          1381 |     99 |    106
     1 |       4 | uncached |    16 |          5 |           5 |          5 | 3a49c8c9    | 3a49c8c9     | 3a49c8c9    |           284 |            275 |           284 |     97 |    100
     1 |       4 | uncached |    17 |          5 |           5 |          5 | b7ff1a0a    | b7ff1a0a     | b7ff1a0a    |          2347 |           2349 |          2380 |    100 |    101
     1 |       4 | uncached |    18 |          5 |           5 |          5 | 29e477e3    | 29e477e3     | 29e477e3    |          2393 |           2383 |          2679 |    100 |    112
     1 |       4 | uncached |    19 |          5 |           5 |          5 | 91220a85    | 91220a85     | 91220a85    |           132 |            128 |           129 |     97 |     98
     1 |       4 | uncached |    20 |          5 |           5 |          5 | acf67bed    | acf67bed     | acf67bed    |          3447 |           3439 |          3650 |    100 |    106
     1 |       4 | uncached |    21 |          5 |           5 |          5 | c4357ffb    | c4357ffb     | c4357ffb    |          1887 |           2073 |          2054 |    110 |    109
     1 |       4 | uncached |    22 |          5 |           5 |          5 | a439a41a    | a439a41a     | a439a41a    |           170 |            182 |           178 |    107 |    104
    10 |       0 | cached   |     1 |          5 |           5 |          5 | 9f29bca7    | 9f29bca7     | 9f29bca7    |         57655 |          58216 |         50063 |    101 |     87
    10 |       0 | cached   |     2 |          5 |           5 |          5 | 041158d7    | 041158d7     | 041158d7    |         15162 |          15099 |         12003 |    100 |     79
    10 |       0 | cached   |     3 |          5 |           5 |          5 | d058a22c    | d058a22c     | d058a22c    |         17513 |          17545 |         15097 |    100 |     86
    10 |       0 | cached   |     4 |          5 |           5 |          5 | 97342919    | 97342919     | 97342919    |          4536 |           4545 |          4656 |    100 |    103
    10 |       0 | cached   |     5 |          5 |           5 |          5 | b8c9ebdd    | b8c9ebdd     | b8c9ebdd    |          4759 |           4783 |          5076 |    101 |    107
    10 |       0 | cached   |     6 |          5 |           5 |          5 | 614518f2    | 614518f2     | 614518f2    |          6341 |           6368 |          5737 |    100 |     90
    10 |       0 | cached   |     7 |          5 |           5 |          5 | 0c2be386    | 0c2be386     | 0c2be386    |         12810 |          12793 |         10532 |    100 |     82
    10 |       0 | cached   |     8 |          5 |           5 |          5 | 0a630745    | 0a630745     | 0a630745    |          3407 |           3429 |          3834 |    101 |    113
    10 |       0 | cached   |     9 |          5 |           5 |          5 | b40989fe    | d6793b01     | d6793b01    |         15358 |          14730 |         13477 |     96 |     88
    10 |       0 | cached   |    10 |          5 |           5 |          5 | 68dd34e1    | 68dd34e1     | 68dd34e1    |          9511 |           9530 |          9564 |    100 |    101
    10 |       0 | cached   |    11 |          5 |           5 |          5 | 3ca54bd3    | 3ca54bd3     | 3ca54bd3    |          2256 |           2255 |          2451 |    100 |    109
    10 |       0 | cached   |    12 |          5 |           5 |          5 | e856499b    | e856499b     | e856499b    |          3879 |           3894 |          3947 |    100 |    102
    10 |       0 | cached   |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |         14540 |          14517 |         13364 |    100 |     92
    10 |       0 | cached   |    14 |          5 |           5 |          5 | af54c5ce    | af54c5ce     | af54c5ce    |          4213 |           4201 |          4286 |    100 |    102
    10 |       0 | cached   |    15 |          5 |           5 |          5 | b277d202    | b277d202     | b277d202    |         12919 |          12973 |         11761 |    100 |     91
    10 |       0 | cached   |    16 |          5 |           5 |          5 | e78d6b74    | e78d6b74     | e78d6b74    |          6696 |           6712 |          6720 |    100 |    100
    10 |       0 | cached   |    17 |          5 |           5 |          5 | eed1fe5c    | eed1fe5c     | eed1fe5c    |         20405 |          20381 |         18095 |    100 |     89
    10 |       0 | cached   |    18 |          5 |           5 |          5 | 2b20b7c6    | 2b20b7c6     | 2b20b7c6    |         23604 |          23438 |         22595 |     99 |     96
    10 |       0 | cached   |    19 |          5 |           5 |          5 | 6b8effe6    | 6b8effe6     | 6b8effe6    |           495 |            494 |           478 |    100 |     97
    10 |       0 | cached   |    20 |          5 |           5 |          5 | 62c5f788    | 62c5f788     | 62c5f788    |         25603 |          25553 |         20136 |    100 |     79
    10 |       0 | cached   |    21 |          5 |           5 |          5 | b0bcc607    | b0bcc607     | b0bcc607    |          8814 |           8788 |          8729 |    100 |     99
    10 |       0 | cached   |    22 |          5 |           5 |          5 | 521c03d4    | 521c03d4     | 521c03d4    |          1434 |           1438 |          1473 |    100 |    103
    10 |       0 | uncached |     1 |          5 |           5 |          5 | 9f29bca7    | 9f29bca7     | 9f29bca7    |         59696 |          60291 |         52173 |    101 |     87
    10 |       0 | uncached |     2 |          5 |           5 |          5 | 041158d7    | 041158d7     | 041158d7    |         16264 |          16196 |         13134 |    100 |     81
    10 |       0 | uncached |     3 |          5 |           5 |          5 | d058a22c    | d058a22c     | d058a22c    |         22789 |          23003 |         20526 |    101 |     90
    10 |       0 | uncached |     4 |          5 |           5 |          5 | 97342919    | 97342919     | 97342919    |          8145 |           8130 |          8337 |    100 |    102
    10 |       0 | uncached |     5 |          5 |           5 |          5 | b8c9ebdd    | b8c9ebdd     | b8c9ebdd    |          9920 |           9946 |         10300 |    100 |    104
    10 |       0 | uncached |     6 |          5 |           5 |          5 | 614518f2    | 614518f2     | 614518f2    |         13843 |          13449 |         13415 |     97 |     97
    10 |       0 | uncached |     7 |          5 |           5 |          5 | 0c2be386    | 0c2be386     | 0c2be386    |         16111 |          16078 |         14071 |    100 |     87
    10 |       0 | uncached |     8 |          5 |           5 |          5 | 0a630745    | 0a630745     | 0a630745    |         10858 |          11012 |         11426 |    101 |    105
    10 |       0 | uncached |     9 |          5 |           5 |          5 | b40989fe    | d6793b01     | d6793b01    |         21288 |          20721 |         19592 |     97 |     92
    10 |       0 | uncached |    10 |          5 |           5 |          5 | 68dd34e1    | 68dd34e1     | 68dd34e1    |         13649 |          13645 |         13796 |    100 |    101
    10 |       0 | uncached |    11 |          5 |           5 |          5 | 3ca54bd3    | 3ca54bd3     | 3ca54bd3    |          2688 |           2682 |          2941 |    100 |    109
    10 |       0 | uncached |    12 |          5 |           5 |          5 | e856499b    | e856499b     | e856499b    |          4761 |           4726 |          4865 |     99 |    102
    10 |       0 | uncached |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |         15090 |          15117 |         14057 |    100 |     93
    10 |       0 | uncached |    14 |          5 |           5 |          5 | af54c5ce    | af54c5ce     | af54c5ce    |          5336 |           5299 |          5432 |     99 |    102
    10 |       0 | uncached |    15 |          5 |           5 |          5 | b277d202    | b277d202     | b277d202    |         20222 |          19504 |         19044 |     96 |     94
    10 |       0 | uncached |    16 |          5 |           5 |          5 | e78d6b74    | e78d6b74     | e78d6b74    |          7078 |           7097 |          7138 |    100 |    101
    10 |       0 | uncached |    17 |          5 |           5 |          5 | eed1fe5c    | eed1fe5c     | eed1fe5c    |         22775 |          22704 |         20562 |    100 |     90
    10 |       0 | uncached |    18 |          5 |           5 |          5 | 2b20b7c6    | 2b20b7c6     | 2b20b7c6    |         25131 |          24881 |         24160 |     99 |     96
    10 |       0 | uncached |    19 |          5 |           5 |          5 | 6b8effe6    | 6b8effe6     | 6b8effe6    |          2622 |           2635 |          2591 |    101 |     99
    10 |       0 | uncached |    20 |          5 |           5 |          5 | 62c5f788    | 62c5f788     | 62c5f788    |         28142 |          28168 |         22823 |    100 |     81
    10 |       0 | uncached |    21 |          5 |           5 |          5 | b0bcc607    | b0bcc607     | b0bcc607    |         13965 |          14085 |         14034 |    101 |    100
    10 |       0 | uncached |    22 |          5 |           5 |          5 | 521c03d4    | 521c03d4     | 521c03d4    |          1767 |           1770 |          1836 |    100 |    104
    10 |       4 | cached   |     1 |          5 |           5 |          5 | 14d8864b    | 14d8864b     | 14d8864b    |         15499 |          15643 |         14504 |    101 |     94
    10 |       4 | cached   |     2 |          5 |           5 |          5 | 041158d7    | d2442543     | 56d6dbf7    |         15129 |            249 |           247 |      2 |      2
    10 |       4 | cached   |     3 |          5 |           5 |          5 | 25b6fe4c    | 25b6fe4c     | 25b6fe4c    |          3897 |           3903 |          3945 |    100 |    101
    10 |       4 | cached   |     4 |          5 |           5 |          5 | d88c98b9    | d88c98b9     | d88c98b9    |          1170 |           1149 |          1417 |     98 |    121
    10 |       4 | cached   |     5 |          5 |           5 |          5 | b8ccaa62    | b8ccaa62     | b8ccaa62    |          1935 |           1937 |          3309 |    100 |    171
    10 |       4 | cached   |     6 |          5 |           5 |          5 | 8e356075    | 8e356075     | 8e356075    |          3083 |           3108 |          3293 |    101 |    107
    10 |       4 | cached   |     7 |          5 |           5 |          5 | 42f08118    | 42f08118     | 42f08118    |          5061 |           5027 |          5369 |     99 |    106
    10 |       4 | cached   |     8 |          5 |           5 |          5 | e9e1d867    | e9e1d867     | ed8691f7    |          1040 |           1041 |          1106 |    100 |    106
    10 |       4 | cached   |     9 |          5 |           5 |          5 | 9ebc1c95    | 2bb5f35f     | 2bb5f35f    |          4084 |           1286 |          1347 |     31 |     33
    10 |       4 | cached   |    10 |          5 |           5 |          5 | be86dfdd    | a182833d     | be86dfdd    |          2832 |           3110 |          3294 |    110 |    116
    10 |       4 | cached   |    11 |          5 |           5 |          5 | 8f28a789    | 8f28a789     | 8f28a789    |           803 |            804 |           872 |    100 |    109
    10 |       4 | cached   |    12 |          5 |           5 |          5 | 48cdb31d    | 48cdb31d     | 48cdb31d    |           835 |            837 |           880 |    100 |    105
    10 |       4 | cached   |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |         14514 |          14520 |         13328 |    100 |     92
    10 |       4 | cached   |    14 |          5 |           5 |          5 | 5097e708    | 5097e708     | 5097e708    |          1628 |           1626 |          2176 |    100 |    134
    10 |       4 | cached   |    15 |          5 |           5 |          5 | 7a5ef113    | 7a5ef113     | 7a5ef113    |          5684 |           5677 |          6259 |    100 |    110
    10 |       4 | cached   |    16 |          5 |           5 |          5 | 3a49c8c9    | 3a49c8c9     | 3a49c8c9    |          2354 |           2346 |          2380 |    100 |    101
    10 |       4 | cached   |    17 |          5 |           5 |          5 | 33317143    | 33317143     | 33317143    |         28935 |          29086 |         21323 |    101 |     74
    10 |       4 | cached   |    18 |          5 |           5 |          5 | b1ce0291    | b1ce0291     | b1ce0291    |         37321 |          36510 |         35337 |     98 |     95
    10 |       4 | cached   |    19 |          5 |           5 |          5 | 07637073    | 07637073     | 07637073    |           158 |            157 |           158 |    100 |    100
    10 |       4 | cached   |    20 |          5 |           5 |          5 | c4547a0c    | c4547a0c     | c4547a0c    |         12606 |          12571 |         10793 |    100 |     86
    10 |       4 | cached   |    21 |          5 |           5 |          5 | 241d72fe    | 241d72fe     | 241d72fe    |          3981 |           3963 |          4385 |    100 |    110
    10 |       4 | cached   |    22 |          5 |           5 |          5 | eb3297aa    | eb3297aa     | eb3297aa    |           426 |            427 |           425 |    100 |    100
    10 |       4 | uncached |     1 |          5 |           5 |          5 | 14d8864b    | 14d8864b     | 14d8864b    |         16310 |          16437 |         15336 |    101 |     94
    10 |       4 | uncached |     2 |          5 |           5 |          5 | 041158d7    | d2442543     | 56d6dbf7    |         16216 |           1408 |          1756 |      9 |     11
    10 |       4 | uncached |     3 |          5 |           5 |          5 | 25b6fe4c    | 25b6fe4c     | 25b6fe4c    |          9703 |           9654 |         10298 |     99 |    106
    10 |       4 | uncached |     4 |          5 |           5 |          5 | d88c98b9    | d88c98b9     | d88c98b9    |          9132 |          10264 |         10241 |    112 |    112
    10 |       4 | uncached |     5 |          5 |           5 |          5 | b8ccaa62    | b8ccaa62     | b8ccaa62    |          7505 |           7582 |          8659 |    101 |    115
    10 |       4 | uncached |     6 |          5 |           5 |          5 | 8e356075    | 8e356075     | 8e356075    |         10782 |          10614 |         10990 |     98 |    102
    10 |       4 | uncached |     7 |          5 |           5 |          5 | 42f08118    | 42f08118     | 42f08118    |         28793 |          32678 |         31857 |    113 |    111
    10 |       4 | uncached |     8 |          5 |           5 |          5 | e9e1d867    | e9e1d867     | ed8691f7    |          6865 |           6997 |          6882 |    102 |    100
    10 |       4 | uncached |     9 |          5 |           5 |          5 | 9ebc1c95    | 2bb5f35f     | 2bb5f35f    |         10335 |          28273 |         27574 |    274 |    267
    10 |       4 | uncached |    10 |          5 |           5 |          5 | be86dfdd    | a182833d     | be86dfdd    |          7793 |          12323 |          8352 |    158 |    107
    10 |       4 | uncached |    11 |          5 |           5 |          5 | 8f28a789    | 8f28a789     | 8f28a789    |          1859 |           1848 |          1969 |     99 |    106
    10 |       4 | uncached |    12 |          5 |           5 |          5 | 48cdb31d    | 48cdb31d     | 48cdb31d    |         10782 |          10528 |         10210 |     98 |     95
    10 |       4 | uncached |    13 |          5 |           5 |          5 | 77a571e7    | 77a571e7     | 77a571e7    |         15090 |          15116 |         13981 |    100 |     93
    10 |       4 | uncached |    14 |          5 |           5 |          5 | 5097e708    | 5097e708     | 5097e708    |          5445 |           5379 |          5858 |     99 |    108
    10 |       4 | uncached |    15 |          5 |           5 |          5 | 7a5ef113    | 7a5ef113     | 7a5ef113    |         13043 |          13059 |         13739 |    100 |    105
    10 |       4 | uncached |    16 |          5 |           5 |          5 | 3a49c8c9    | 3a49c8c9     | 3a49c8c9    |          2636 |           2619 |          2703 |     99 |    103
    10 |       4 | uncached |    17 |          5 |           5 |          5 | 33317143    | 33317143     | 33317143    |         29410 |          29602 |         29138 |    101 |     99
    10 |       4 | uncached |    18 |          5 |           5 |          5 | b1ce0291    | b1ce0291     | b1ce0291    |         41063 |          40078 |         39125 |     98 |     95
    10 |       4 | uncached |    19 |          5 |           5 |          5 | 07637073    | 07637073     | 07637073    |           740 |            764 |           742 |    103 |    100
    10 |       4 | uncached |    20 |          5 |           5 |          5 | c4547a0c    | c4547a0c     | c4547a0c    |         15409 |          15418 |         13762 |    100 |     89
    10 |       4 | uncached |    21 |          5 |           5 |          5 | 241d72fe    | 241d72fe     | 241d72fe    |         19201 |          18306 |         19698 |     95 |    103
    10 |       4 | uncached |    22 |          5 |           5 |          5 | eb3297aa    | eb3297aa     | eb3297aa    |          1645 |           1636 |          1811 |     99 |    110
(176 rows)

